shape_id,shape_pt_sequence,latitude,longitude
22603,231,39.816769,-75.459004
22603,232,39.816986,-75.458911
22603,233,39.817051,-75.458867
22603,234,39.817165,-75.45877
22603,235,39.817183,-75.458827
22603,236,39.817208,-75.45889
22603,237,39.817311,-75.459154
22603,238,39.817355,-75.459274
22603,239,39.817384,-75.459351
22603,240,39.817413,-75.459435
22603,241,39.817884,-75.460761
22603,242,39.818347,-75.462065
22603,243,39.818605,-75.461882
22603,244,39.818981,-75.461783
22603,245,39.819087,-75.461799
22603,246,39.819221,-75.461799
22603,247,39.819335,-75.461799
22603,248,39.819387,-75.461778
22603,249,39.819568,-75.461707
22603,250,39.819725,-75.461615
22603,251,39.819819,-75.461546
22603,252,39.819942,-75.461456
22603,253,39.820234,-75.461147
22603,254,39.820838,-75.460494
22603,255,39.821316,-75.459517
22603,256,39.821441,-75.45924
22603,257,39.821738,-75.45873
22603,258,39.821875,-75.458445
22603,259,39.82189,-75.458403
22603,260,39.82189,-75.458403
22603,261,39.821935,-75.458281
22603,262,39.821948,-75.458164
22603,263,39.821947,-75.458065
22603,264,39.821869,-75.457822
22603,265,39.821801,-75.45773
22603,266,39.821719,-75.457675
22603,267,39.821536,-75.457552
22603,268,39.821027,-75.457295
22603,269,39.820026,-75.456808
22603,270,39.819612,-75.456646
22603,271,39.8195,-75.456626
22603,272,39.819432,-75.456628
22603,273,39.819334,-75.456651
22603,274,39.819271,-75.456694
22603,275,39.818855,-75.457141
22603,276,39.81825,-75.457759
22603,277,39.817682,-75.458313
22603,278,39.81764,-75.458353
22603,279,39.817607,-75.458468
22603,280,39.817441,-75.458664
22603,281,39.817208,-75.45889
22603,282,39.81709,-75.458972
22603,283,39.81709,-75.458972
22603,284,39.817051,-75.458867
22603,285,39.816942,-75.458563
22603,286,39.816534,-75.45738
22603,287,39.816416,-75.456997
22603,288,39.816177,-75.456234
22603,289,39.815966,-75.455379
22603,290,39.815901,-75.455122
22603,291,39.815861,-75.45496
22603,292,39.815714,-75.454307
22603,293,39.815689,-75.454214
22603,294,39.815529,-75.453583
22603,295,39.815495,-75.453446
22603,296,39.815452,-75.453284
22603,297,39.815396,-75.453068
22603,298,39.815184,-75.452251
22603,299,39.814897,-75.451323
22603,300,39.814729,-75.450803
22603,301,39.814271,-75.449353
22603,302,39.814271,-75.449353
22603,303,39.814446,-75.449241
22603,304,39.815174,-75.44881
22603,305,39.81537,-75.448708
22603,306,39.816016,-75.44837
22603,307,39.816063,-75.448371
22603,308,39.816107,-75.448416
