shape_id,shape_pt_sequence,latitude,longitude
22595,16,39.740939,-75.552549
22595,17,39.741687,-75.552063
22595,18,39.742433,-75.551557
22595,19,39.742721,-75.55136
22595,20,39.743159,-75.551058
22595,21,39.743932,-75.550525
22595,22,39.744792,-75.549895
22595,23,39.74517,-75.549635
22595,24,39.746074,-75.549056
22595,25,39.746444,-75.54716
22595,26,39.746444,-75.54716
22595,27,39.74608,-75.54631
22595,28,39.745744,-75.545394
22595,29,39.746593,-75.544809
22595,30,39.747448,-75.544231
22595,31,39.748375,-75.543603
22595,32,39.748932,-75.543228
22595,33,39.749689,-75.543668
22595,34,39.749769,-75.543757
22595,35,39.749837,-75.543811
22595,36,39.749882,-75.54383
22595,37,39.750061,-75.543856
22595,38,39.750061,-75.543856
22595,39,39.750196,-75.543881
22595,40,39.750364,-75.543839
22595,41,39.750451,-75.543816
22595,42,39.750589,-75.543765
22595,43,39.750713,-75.54372
22595,44,39.750788,-75.543701
22595,45,39.751015,-75.543607
22595,46,39.751465,-75.542613
22595,47,39.751781,-75.541873
22595,48,39.751986,-75.5414
22595,49,39.752058,-75.541236
22595,50,39.752233,-75.540839
22595,51,39.75265,-75.539889
22595,52,39.752966,-75.5392
22595,53,39.753218,-75.538661
22595,54,39.75352,-75.537993
22595,55,39.753634,-75.53774
22595,56,39.754028,-75.53681
22595,57,39.754445,-75.535883
22595,58,39.754871,-75.534938
22595,59,39.755298,-75.533996
22595,60,39.75568,-75.533157
22595,61,39.756248,-75.531883
22595,62,39.756668,-75.530966
22595,63,39.757078,-75.530065
22595,64,39.757449,-75.529253
22595,65,39.757724,-75.528648
22595,66,39.757949,-75.528152
22595,67,39.758188,-75.527656
22595,68,39.75823,-75.527563
22595,69,39.758528,-75.526902
22595,70,39.758579,-75.526788
22595,71,39.758937,-75.526008
22595,72,39.759189,-75.52544
22595,73,39.759578,-75.524593
22595,74,39.759953,-75.523773
22595,75,39.760323,-75.522969
22595,76,39.76068,-75.522184
22595,77,39.761062,-75.521341
22595,78,39.761438,-75.520508
22595,79,39.76181,-75.519727
22595,80,39.762276,-75.518681
22595,81,39.762385,-75.518435
22595,82,39.762878,-75.517327
22595,83,39.763314,-75.516346
22595,84,39.763523,-75.515875
22595,85,39.764351,-75.514063
22595,86,39.764022,-75.51223
22595,87,39.763843,-75.511318
22595,88,39.763655,-75.510167
22595,89,39.76336,-75.508538
22595,90,39.763192,-75.507552
22595,91,39.763117,-75.507139
22595,92,39.76305,-75.506772
22595,93,39.762989,-75.506579
22595,94,39.762918,-75.506414
22595,95,39.762414,-75.505528
22595,96,39.761825,-75.504522
22595,97,39.763037,-75.503354
22595,98,39.763357,-75.50301
22595,99,39.764024,-75.50235
22595,100,39.764192,-75.502183
22595,101,39.764805,-75.501578
22595,102,39.765,-75.501383
22595,103,39.765357,-75.501024
22595,104,39.765887,-75.500522
22595,105,39.766411,-75.500013
22595,106,39.766936,-75.499468
22595,107,39.767457,-75.49891
22595,108,39.767637,-75.498662
22595,109,39.767749,-75.498478
22595,110,39.768072,-75.497898
